#lambda_l=1.298357729832e-01, lambda_r=1.298357729832e-01
1.000000000000e+00 1.000000000000e+00
5.104003477219e-02 5.104003477219e-02
5.104003471430e-02 5.104003471430e-02
5.104002681492e-02 5.104002681492e-02
5.104002680536e-02 5.104002680536e-02
1.690791348725e-02 1.690791348725e-02
1.690790708935e-02 1.690790708935e-02
1.808682339395e-03 1.808682339395e-03
1.808682257266e-03 1.808682257266e-03
1.055215998846e-03 1.055215998846e-03
1.055215998698e-03 1.055215998698e-03
1.046075344140e-03 1.046075344140e-03
1.046075342694e-03 1.046075342694e-03
7.918583909648e-04 7.918583909648e-04
7.918583896674e-04 7.918583896674e-04
7.918582362354e-04 7.918582362354e-04
7.918582352447e-04 7.918582352447e-04
7.918571981385e-04 7.918571981385e-04
7.918571969502e-04 7.918571969502e-04
7.918570422445e-04 7.918570422445e-04
7.918570408102e-04 7.918570408102e-04
4.743768074803e-04 4.743768074803e-04
4.739474388193e-04 4.739474388193e-04
3.893169288156e-04 3.893169288156e-04
3.886561716593e-04 3.886561716593e-04
3.754059623685e-04 3.754059623685e-04
3.754056204156e-04 3.754056204156e-04
3.747517838633e-04 3.747517838633e-04
3.747517836811e-04 3.747517836811e-04
3.746505686957e-04 3.746505686957e-04
3.746505665845e-04 3.746505665845e-04
3.673536517931e-04 3.673536517931e-04
2.859859491799e-04 2.859859491799e-04
9.571775974071e-05 9.571775974071e-05
9.571774213097e-05 9.571774213097e-05
9.571737088928e-05 9.571737088928e-05
9.571735948865e-05 9.571735948865e-05
9.562506878854e-05 9.562506878855e-05
9.562504783076e-05 9.562504783076e-05
9.562466531415e-05 9.562466531415e-05
9.562465262503e-05 9.562465262503e-05
3.060401298361e-05 3.060401298361e-05
3.060401297293e-05 3.060401297293e-05
1.785756611181e-05 1.785756611181e-05
1.785756161649e-05 1.785756161649e-05
1.770270485619e-05 1.770270485619e-05
1.770270118315e-05 1.770270118315e-05
1.229344336743e-05 1.229344336743e-05
1.229344190629e-05 1.229344190629e-05
1.229343697075e-05 1.229343697075e-05
1.229343447476e-05 1.229343447476e-05
9.213911067768e-06 9.213911067768e-06
8.437076178274e-06 8.437076178274e-06
8.437071198476e-06 8.437071198476e-06
8.381398767644e-06 8.381398767644e-06
8.381398666282e-06 8.381398666282e-06
8.029686403912e-06 8.029686403912e-06
8.025275790616e-06 8.025275790616e-06
7.462926179686e-06 7.462926179686e-06
7.462920459534e-06 7.462920459534e-06
7.378529834354e-06 7.378529834354e-06
7.171676069957e-06 7.171676069957e-06
3.705267347957e-06 3.705267347957e-06
3.280339506778e-06 3.280339506778e-06
3.198815058535e-06 3.198815058535e-06
3.198814479654e-06 3.198814479654e-06
