#lambda_l=8.391336194687e-02, lambda_r=8.391336194687e-02
1.000000000000e+00 1.000000000000e+00
4.840484818868e-02 4.840484818868e-02
4.840438552325e-02 4.840438552325e-02
4.831503545296e-02 4.831503545296e-02
4.831492459256e-02 4.831492459256e-02
4.824883931271e-02 4.824883931271e-02
4.824832159593e-02 4.824832159593e-02
4.824452301707e-02 4.824452301707e-02
4.824416813740e-02 4.824416813740e-02
4.785405282044e-02 4.785405282044e-02
4.784739471655e-02 4.784739471655e-02
4.776626004159e-02 4.776626004159e-02
4.775942430630e-02 4.775942430630e-02
4.775485209774e-02 4.775485209774e-02
4.775076455717e-02 4.775076455717e-02
4.774832222705e-02 4.774832222705e-02
4.774407771155e-02 4.774407771155e-02
9.128065901627e-03 9.128065901627e-03
9.121990394257e-03 9.121990394257e-03
5.330641376106e-03 5.330641376106e-03
5.330541630425e-03 5.330541630425e-03
4.501288700458e-03 4.501288700458e-03
4.500480964307e-03 4.500480964307e-03
3.988518081738e-03 3.988518081738e-03
3.987827376781e-03 3.987827376781e-03
3.022817835024e-03 3.022817835024e-03
3.022063374077e-03 3.022063374077e-03
2.696732187127e-03 2.696732187127e-03
2.696117397613e-03 2.696117397613e-03
2.514971990857e-03 2.514971990857e-03
2.511138059400e-03 2.511138059400e-03
2.443640330772e-03 2.443640330772e-03
2.442968390840e-03 2.442968390840e-03
2.337200243096e-03 2.337200243096e-03
2.333416451942e-03 2.333416451942e-03
2.333116535344e-03 2.333116535344e-03
2.326293545980e-03 2.326293545980e-03
2.176838521921e-03 2.176838521921e-03
2.176276528367e-03 2.176276528367e-03
2.063999743656e-03 2.063999743656e-03
2.063609285222e-03 2.063609285222e-03
1.811876716988e-03 1.811876716988e-03
1.811442456203e-03 1.811442456203e-03
1.703108226950e-03 1.703108226950e-03
1.698082301443e-03 1.698082301443e-03
1.679411761308e-03 1.679411761308e-03
1.671212979211e-03 1.671212979211e-03
1.645077804872e-03 1.645077804872e-03
1.643912335794e-03 1.643912335794e-03
1.626557791031e-03 1.626557791031e-03
1.623357970160e-03 1.623357970160e-03
1.622833516865e-03 1.622833516865e-03
1.611816072752e-03 1.611816072752e-03
1.608956001993e-03 1.608956001993e-03
1.606190269963e-03 1.606190269963e-03
1.605897714106e-03 1.605897714106e-03
1.605745159580e-03 1.605745159580e-03
1.604933269251e-03 1.604933269251e-03
1.573459519196e-03 1.573459519196e-03
1.572932969485e-03 1.572932969485e-03
1.478902045658e-03 1.478902045658e-03
1.477269940520e-03 1.477269940520e-03
1.467450406997e-03 1.467450406997e-03
1.467429247564e-03 1.467429247564e-03
1.303335675873e-03 1.303335675873e-03
1.301959184985e-03 1.301959184985e-03
1.300412744624e-03 1.300412744624e-03
1.287601082673e-03 1.287601082673e-03
1.165489059034e-03 1.165489059034e-03
1.143113169052e-03 1.143113169052e-03
1.116230275656e-03 1.116230275656e-03
1.116201726899e-03 1.116201726899e-03
1.108238028055e-03 1.108238028055e-03
1.106824128054e-03 1.106824128054e-03
