#lambda_l=1.044533137529e+00, lambda_r=1.044533137529e+00
1.000000000000e+00 1.000000000000e+00
1.639927319256e-02 1.639927319256e-02
1.639927319256e-02 1.639927319256e-02
3.472889965977e-03 3.472889965977e-03
3.472889965977e-03 3.472889965977e-03
9.896072249320e-04 9.896072249320e-04
9.896072249320e-04 9.896072249320e-04
9.455012380691e-04 9.455012380691e-04
9.455012380691e-04 9.455012380691e-04
5.061342129324e-04 5.061342129324e-04
5.061342129324e-04 5.061342129324e-04
2.689361612443e-04 2.689361612443e-04
5.695287131977e-05 5.695287131977e-05
5.695287131977e-05 5.695287131977e-05
1.622883923499e-05 1.622883923499e-05
1.622883923499e-05 1.622883923499e-05
1.550553310700e-05 1.550553310700e-05
1.550553310700e-05 1.550553310700e-05
1.206096471579e-05 1.206096471579e-05
8.300233229981e-06 8.300233229981e-06
8.300233229981e-06 8.300233229981e-06
3.436797001725e-06 3.436797001725e-06
3.436797001725e-06 3.436797001725e-06
3.283621762509e-06 3.283621762509e-06
3.283621762509e-06 3.283621762509e-06
1.757748429531e-06 1.757748429531e-06
1.757748429531e-06 1.757748429531e-06
9.793224596377e-07 9.793224596377e-07
9.356748563754e-07 9.356748563754e-07
9.356748563754e-07 9.356748563754e-07
8.939725911902e-07 8.939725911902e-07
5.008740739032e-07 5.008740739032e-07
5.008740739032e-07 5.008740739032e-07
4.785505249567e-07 4.785505249567e-07
4.785505249567e-07 4.785505249567e-07
2.561718415007e-07 2.561718415007e-07
1.345812246247e-17 1.477750038827e-17
9.027027157998e-18 1.034868848426e-17
8.753330482504e-18 8.885302305436e-18
8.548634507065e-18 8.809884826770e-18
7.655934589217e-18 7.655789484598e-18
7.639921520728e-18 7.155501604667e-18
7.535613735224e-18 6.745314642635e-18
7.231187947573e-18 6.592804110202e-18
6.658329480483e-18 6.116430204283e-18
6.193851289426e-18 6.014415086741e-18
5.584044989674e-18 5.538268001610e-18
5.044397324600e-18 4.824142563577e-18
4.871229347516e-18 4.643948470127e-18
4.748035188873e-18 4.514173509866e-18
4.134987882684e-18 4.283605453109e-18
4.071971832031e-18 3.966407784857e-18
3.577396326812e-18 3.663510669106e-18
3.406398924386e-18 3.522778450908e-18
3.240254511108e-18 3.380742539079e-18
3.217908225829e-18 3.014195050850e-18
2.647795446374e-18 2.940005035649e-18
2.077726935193e-18 2.761238165005e-18
1.953020425297e-18 2.703253548198e-18
1.807715573701e-18 1.938143823057e-18
1.771540555317e-18 1.599761643132e-18
1.585204732681e-18 1.488873440912e-18
1.452832706367e-18 1.473741424203e-18
1.261628323836e-18 1.185633658423e-18
1.155359395688e-18 9.224365820645e-19
8.179924250951e-19 7.670028756813e-19
5.170651724720e-19 6.090947672551e-19
4.571169089323e-19 5.750495709802e-19
4.214849462376e-19 4.882199407957e-19
3.956676377821e-19 4.865214514193e-19
3.579847664098e-19 4.143697551800e-19
